zipcode,zipcode_type,major_city,post_office_city,county,state,lat,lng
49720,Standard,Charlevoix,"Charlevoix, MI",Charlevoix County,MI,45.3,-85.2
49721,Standard,Cheboygan,"Cheboygan, MI",Cheboygan County,MI,45.6,-84.5
49722,PO Box,Conway,"Conway, MI",Emmet County,MI,45.421,-84.864
49723,PO Box,Cross Village,NA,Emmet County,MI,45.6393075,-85.0396987
49724,Standard,Dafter,"Dafter, MI",Chippewa County,MI,46.3,-84.4
49725,Standard,De Tour Village,"De Tour Village, MI",Chippewa County,MI,46,-83.9
49726,Standard,Drummond Island,"Drummond Island, MI",Chippewa County,MI,46,-83.7
49727,Standard,East Jordan,"East Jordan, MI",Charlevoix County,MI,45.1,-85.1
49728,Standard,Eckerman,"Eckerman, MI",Chippewa County,MI,46.4,-85.1
49729,Standard,Ellsworth,"Ellsworth, MI",Antrim County,MI,45.2,-85.3
49730,Standard,Elmira,"Elmira, MI",Antrim County,MI,45.1,-84.9
49733,Standard,Frederic,"Frederic, MI",Crawford County,MI,44.8,-84.7
49734,PO Box,Gaylord,NA,Otsego County,MI,45.03,-84.67
49735,Standard,Gaylord,"Gaylord, MI",Otsego County,MI,45,-84.6
49736,Standard,Goetzville,"Goetzville, MI",Chippewa County,MI,46.1,-84.1
49737,PO Box,Good Hart,NA,Emmet County,MI,45.57,-85.11
49738,Standard,Grayling,"Grayling, MI",Crawford County,MI,44.7,-84.6
49739,Unique,Grayling,NA,Crawford County,MI,44.6599999,-84.7099999
49740,Standard,Harbor Springs,"Harbor Springs, MI",Emmet County,MI,45.5,-85
49743,Standard,Hawks,"Hawks, MI",Presque Isle County,MI,45.3,-83.9
49744,Standard,Herron,"Herron, MI",Alpena County,MI,45,-83.7
49745,Standard,Hessel,"Hessel, MI",Mackinac County,MI,46,-84.5
49746,Standard,Hillman,"Hillman, MI",Montmorency County,MI,45.1,-84
49747,Standard,Hubbard Lake,"Hubbard Lake, MI",Alpena County,MI,44.9,-83.6
49748,PO Box,Hulbert,"Hulbert, MI",Chippewa County,MI,46.353,-85.15
49749,Standard,Indian River,"Indian River, MI",Cheboygan County,MI,45.4,-84.6
49751,Standard,Johannesburg,"Johannesburg, MI",Otsego County,MI,45,-84.4
49752,Standard,Kinross,"Kinross, MI",Chippewa County,MI,46.4,-84.9
49753,Standard,Lachine,"Lachine, MI",Alpena County,MI,45,-83.8
49755,Standard,Levering,"Levering, MI",Emmet County,MI,45.7,-84.8
49756,Standard,Lewiston,"Lewiston, MI",Montmorency County,MI,44.8,-84.2
49757,PO Box,Mackinac Island,"Mackinac Island, MI",Mackinac County,MI,45.87,-84.63
49759,Standard,Millersburg,"Millersburg, MI",Presque Isle County,MI,45.4,-84.1
49760,Standard,Moran,"Moran, MI",Mackinac County,MI,46.1,-85
49761,PO Box,Mullett Lake,NA,Cheboygan County,MI,45.5719234,-84.5094689
49762,Standard,Naubinway,"Naubinway, MI",Mackinac County,MI,46.1,-85.3
49764,PO Box,Oden,"Oden, MI",Emmet County,MI,45.3,-84.9
49765,Standard,Onaway,"Onaway, MI",Presque Isle County,MI,45.4,-84.2
49766,Standard,Ossineke,"Ossineke, MI",Alpena County,MI,44.9,-83.4
49768,Standard,Paradise,"Paradise, MI",Chippewa County,MI,46.6,-85.1
49769,Standard,Pellston,"Pellston, MI",Emmet County,MI,45.6,-84.8
49770,Standard,Petoskey,"Petoskey, MI",Emmet County,MI,45.3,-84.9
49774,Standard,Pickford,"Pickford, MI",Chippewa County,MI,46.2,-84.3
