order,x,y,hole,piece,group,fips,abbr,NAME
13858,668941.9867,-2172322.101,F,1,72.1,72,PR,Puerto Rico
13859,668949.2324,-2172318.225,F,1,72.1,72,PR,Puerto Rico
13860,669052.0954,-2172263.21,F,1,72.1,72,PR,Puerto Rico
13861,669662.1909,-2171936.906,F,1,72.1,72,PR,Puerto Rico
13862,669779.4363,-2171874.198,F,1,72.1,72,PR,Puerto Rico
13863,670198.2713,-2170828.873,F,1,72.1,72,PR,Puerto Rico
13864,670355.2793,-2169584.699,F,1,72.1,72,PR,Puerto Rico
13865,669979.6187,-2168949.466,F,1,72.1,72,PR,Puerto Rico
13866,669884.2552,-2168788.208,F,1,72.1,72,PR,Puerto Rico
13867,669588.9006,-2168667.866,F,1,72.1,72,PR,Puerto Rico
13868,669068.6575,-2168455.891,F,1,72.1,72,PR,Puerto Rico
13869,668784.9786,-2168340.306,F,1,72.1,72,PR,Puerto Rico
13870,668530.6238,-2168263.923,F,1,72.1,72,PR,Puerto Rico
13871,668131.5724,-2168144.089,F,1,72.1,72,PR,Puerto Rico
13872,667113.4963,-2167838.362,F,1,72.1,72,PR,Puerto Rico
13873,666796.2833,-2167743.103,F,1,72.1,72,PR,Puerto Rico
13874,666173.7922,-2167554.772,F,1,72.1,72,PR,Puerto Rico
13875,665140.1648,-2167242.055,F,1,72.1,72,PR,Puerto Rico
13876,664493.3517,-2167046.366,F,1,72.1,72,PR,Puerto Rico
13877,663785.5219,-2166884.835,F,1,72.1,72,PR,Puerto Rico
13878,663423.1173,-2166802.132,F,1,72.1,72,PR,Puerto Rico
13879,662294.8231,-2166544.648,F,1,72.1,72,PR,Puerto Rico
13880,661949.9563,-2166465.948,F,1,72.1,72,PR,Puerto Rico
13881,661876.4041,-2166449.163,F,1,72.1,72,PR,Puerto Rico
13882,662870.8618,-2165254.756,F,1,72.1,72,PR,Puerto Rico
13883,663917.5087,-2164159.884,F,1,72.1,72,PR,Puerto Rico
13884,664388.5329,-2163463.367,F,1,72.1,72,PR,Puerto Rico
13885,664007.431,-2162980.175,F,1,72.1,72,PR,Puerto Rico
13886,663760.5007,-2162667.096,F,1,72.1,72,PR,Puerto Rico
13887,663697.5752,-2162427.834,F,1,72.1,72,PR,Puerto Rico
13888,663551.0832,-2161870.825,F,1,72.1,72,PR,Puerto Rico
13889,663917.5087,-2161025.008,F,1,72.1,72,PR,Puerto Rico
13890,664545.541,-2160178.97,F,1,72.1,72,PR,Puerto Rico
13891,664855.7774,-2159715.666,F,1,72.1,72,PR,Puerto Rico
13892,664893.9949,-2159658.593,F,1,72.1,72,PR,Puerto Rico
13893,664911.9665,-2159631.754,F,1,72.1,72,PR,Puerto Rico
13894,664493.3517,-2158437.568,F,1,72.1,72,PR,Puerto Rico
13895,664413.0294,-2158284.879,F,1,72.1,72,PR,Puerto Rico
13896,663917.5087,-2157342.916,F,1,72.1,72,PR,Puerto Rico
13897,663865.3195,-2156248.264,F,1,72.1,72,PR,Puerto Rico
13898,663879.2569,-2156142.243,F,1,72.1,72,PR,Puerto Rico
13899,664126.9262,-2154258.247,F,1,72.1,72,PR,Puerto Rico
13900,665225.9826,-2152914.98,F,1,72.1,72,PR,Puerto Rico
13901,665242.8391,-2152905.901,F,1,72.1,72,PR,Puerto Rico
13902,665370.4074,-2152837.188,F,1,72.1,72,PR,Puerto Rico
13903,666241.3463,-2152368.071,F,1,72.1,72,PR,Puerto Rico
13904,666796.2833,-2152069.163,F,1,72.1,72,PR,Puerto Rico
13905,667685.9222,-2151422.413,F,1,72.1,72,PR,Puerto Rico
13906,667719.215,-2151300.366,F,1,72.1,72,PR,Puerto Rico
13907,667939.1186,-2150494.229,F,1,72.1,72,PR,Puerto Rico
13908,668052.3478,-2150079.146,F,1,72.1,72,PR,Puerto Rico
13909,668102.1501,-2149275.613,F,1,72.1,72,PR,Puerto Rico
13910,668104.7572,-2149233.549,F,1,72.1,72,PR,Puerto Rico
13911,667667.9042,-2148034.653,F,1,72.1,72,PR,Puerto Rico
13912,667633.5128,-2147940.269,F,1,72.1,72,PR,Puerto Rico
13913,667842.9303,-2147193.986,F,1,72.1,72,PR,Puerto Rico
13914,667842.9303,-2146894.382,F,1,72.1,72,PR,Puerto Rico
13915,667842.9303,-2146348.388,F,1,72.1,72,PR,Puerto Rico
13916,667768.0362,-2146259.419,F,1,72.1,72,PR,Puerto Rico
13917,667214.8981,-2145602.325,F,1,72.1,72,PR,Puerto Rico
13918,667203.1097,-2145445.379,F,1,72.1,72,PR,Puerto Rico
13919,667110.2994,-2144209.732,F,1,72.1,72,PR,Puerto Rico
13920,667296.8249,-2144126.303,F,1,72.1,72,PR,Puerto Rico
13921,667999.9383,-2143811.816,F,1,72.1,72,PR,Puerto Rico
13922,668763.88,-2142803.406,F,1,72.1,72,PR,Puerto Rico
13923,668941.9867,-2142568.304,F,1,72.1,72,PR,Puerto Rico
13924,669256.223,-2141175.711,F,1,72.1,72,PR,Puerto Rico
13925,669151.4041,-2140330.333,F,1,72.1,72,PR,Puerto Rico
13926,669020.9156,-2139883.729,F,1,72.1,72,PR,Puerto Rico
13927,668889.7974,-2139434.969,F,1,72.1,72,PR,Puerto Rico
13928,668261.7652,-2139136.588,F,1,72.1,72,PR,Puerto Rico
13929,668111.7093,-2138986.111,F,1,72.1,72,PR,Puerto Rico
13930,667319.4967,-2138191.677,F,1,72.1,72,PR,Puerto Rico
13931,667895.3397,-2137197.219,F,1,72.1,72,PR,Puerto Rico
13932,668414.1982,-2137197.219,F,1,72.1,72,PR,Puerto Rico
13933,668523.3719,-2137197.219,F,1,72.1,72,PR,Puerto Rico
13934,668888.8298,-2136750.703,F,1,72.1,72,PR,Puerto Rico
13935,669509.4727,-2135992.402,F,1,72.1,72,PR,Puerto Rico
13936,669622.4283,-2135854.393,F,1,72.1,72,PR,Puerto Rico
13937,669948.5132,-2135473.116,F,1,72.1,72,PR,Puerto Rico
13938,670438.8369,-2134899.802,F,1,72.1,72,PR,Puerto Rico
13939,670983.3116,-2134263.172,F,1,72.1,72,PR,Puerto Rico
13940,671925.3599,-2133218.948,F,1,72.1,72,PR,Puerto Rico
13941,672126.6155,-2133027.744,F,1,72.1,72,PR,Puerto Rico
13942,672656.7906,-2132524.049,F,1,72.1,72,PR,Puerto Rico
13943,672668.751,-2132512.686,F,1,72.1,72,PR,Puerto Rico
13944,673547.8498,-2131677.494,F,1,72.1,72,PR,Puerto Rico
13945,673791.8853,-2131337.487,F,1,72.1,72,PR,Puerto Rico
13946,674225.005,-2130734.036,F,1,72.1,72,PR,Puerto Rico
13947,674332.8901,-2130583.723,F,1,72.1,72,PR,Puerto Rico
13948,674361.711,-2129872.767,F,1,72.1,72,PR,Puerto Rico
13949,674385.2995,-2129290.884,F,1,72.1,72,PR,Puerto Rico
13950,674135.2381,-2128538.77,F,1,72.1,72,PR,Puerto Rico
13951,674099.1666,-2128430.278,F,1,72.1,72,PR,Puerto Rico
13952,674071.2834,-2128346.413,F,1,72.1,72,PR,Puerto Rico
13953,674021.9502,-2128310.573,F,1,72.1,72,PR,Puerto Rico
13954,673181.6445,-2127700.104,F,1,72.1,72,PR,Puerto Rico
13955,673181.6445,-2127514.375,F,1,72.1,72,PR,Puerto Rico
13956,673181.6445,-2127154.743,F,1,72.1,72,PR,Puerto Rico
13957,673181.6445,-2126506.798,F,1,72.1,72,PR,Puerto Rico
13958,672198.4087,-2126122.239,F,1,72.1,72,PR,Puerto Rico
13959,672180.7579,-2126115.336,F,1,72.1,72,PR,Puerto Rico
13960,671401.9263,-2125810.722,F,1,72.1,72,PR,Puerto Rico
13961,671383.2321,-2125790.914,F,1,72.1,72,PR,Puerto Rico
13962,670041.2632,-2124369.023,F,1,72.1,72,PR,Puerto Rico
13963,670030.661,-2123936.601,F,1,72.1,72,PR,Puerto Rico
13964,669994.3096,-2122453.985,F,1,72.1,72,PR,Puerto Rico
13965,669988.8538,-2122231.467,F,1,72.1,72,PR,Puerto Rico
13966,669915.785,-2121375.548,F,1,72.1,72,PR,Puerto Rico
13967,669893.6448,-2121116.199,F,1,72.1,72,PR,Puerto Rico
13968,669831.8458,-2120392.293,F,1,72.1,72,PR,Puerto Rico
13969,669618.7638,-2119999.507,F,1,72.1,72,PR,Puerto Rico
13970,669042.4557,-2118937.166,F,1,72.1,72,PR,Puerto Rico
13971,668961.4917,-2118787.921,F,1,72.1,72,PR,Puerto Rico
13972,668941.9867,-2118751.966,F,1,72.1,72,PR,Puerto Rico
13973,667874.7669,-2117215.303,F,1,72.1,72,PR,Puerto Rico
13974,667319.4967,-2116415.783,F,1,72.1,72,PR,Puerto Rico
13975,666534.4564,-2115819.461,F,1,72.1,72,PR,Puerto Rico
13976,666534.4564,-2115576.226,F,1,72.1,72,PR,Puerto Rico
13977,666534.4564,-2115507.206,F,1,72.1,72,PR,Puerto Rico
13978,666534.4564,-2114355.557,F,1,72.1,72,PR,Puerto Rico
13979,666534.4564,-2113781.659,F,1,72.1,72,PR,Puerto Rico
13980,666320.5799,-2112359.596,F,1,72.1,72,PR,Puerto Rico
13981,666272.8498,-2112042.239,F,1,72.1,72,PR,Puerto Rico
13982,665998.876,-2111675.683,F,1,72.1,72,PR,Puerto Rico
13983,665121.384,-2110501.666,F,1,72.1,72,PR,Puerto Rico
13984,664766.4068,-2110319.137,F,1,72.1,72,PR,Puerto Rico
13985,664252.1903,-2110054.726,F,1,72.1,72,PR,Puerto Rico
13986,663865.3195,-2109855.797,F,1,72.1,72,PR,Puerto Rico
13987,662452.0268,-2109656.95,F,1,72.1,72,PR,Puerto Rico
13988,660845.7026,-2109285.964,F,1,72.1,72,PR,Puerto Rico
13989,660515.5208,-2109209.708,F,1,72.1,72,PR,Puerto Rico
13990,660386.2267,-2109193.862,F,1,72.1,72,PR,Puerto Rico
13991,658946.5297,-2109017.417,F,1,72.1,72,PR,Puerto Rico
13992,658893.0308,-2109010.86,F,1,72.1,72,PR,Puerto Rico
13993,658566.955,-2108920.248,F,1,72.1,72,PR,Puerto Rico
13994,656747.1073,-2108414.538,F,1,72.1,72,PR,Puerto Rico
13995,656119.0751,-2107917.75,F,1,72.1,72,PR,Puerto Rico
13996,655355.0054,-2106512.368,F,1,72.1,72,PR,Puerto Rico
13997,655113.154,-2106067.521,F,1,72.1,72,PR,Puerto Rico
13998,655100.7822,-2106044.765,F,1,72.1,72,PR,Puerto Rico
13999,654536.6589,-2105007.152,F,1,72.1,72,PR,Puerto Rico
14000,654444.1757,-2104837.045,F,1,72.1,72,PR,Puerto Rico
14001,654351.2478,-2104672.219,F,1,72.1,72,PR,Puerto Rico
14002,653905.6657,-2103881.893,F,1,72.1,72,PR,Puerto Rico
14003,653007.7036,-2102289.183,F,1,72.1,72,PR,Puerto Rico
14004,652547.2049,-2101472.4,F,1,72.1,72,PR,Puerto Rico
14005,652455.2602,-2101309.318,F,1,72.1,72,PR,Puerto Rico
14006,652447.999,-2101272.554,F,1,72.1,72,PR,Puerto Rico
14007,652393.6494,-2100997.375,F,1,72.1,72,PR,Puerto Rico
14008,652170.1299,-2099865.671,F,1,72.1,72,PR,Puerto Rico
14009,652141.2441,-2099719.419,F,1,72.1,72,PR,Puerto Rico
14010,651408.6133,-2098725.842,F,1,72.1,72,PR,Puerto Rico
14011,651381.5251,-2098714.595,F,1,72.1,72,PR,Puerto Rico
14012,650704.5711,-2098433.525,F,1,72.1,72,PR,Puerto Rico
14013,650571.1636,-2098378.134,F,1,72.1,72,PR,Puerto Rico
14014,649877.4237,-2097379.8,F,1,72.1,72,PR,Puerto Rico
14015,649864.6259,-2097361.383,F,1,72.1,72,PR,Puerto Rico
14016,649181.8205,-2096378.785,F,1,72.1,72,PR,Puerto Rico
14017,648948.6736,-2096043.272,F,1,72.1,72,PR,Puerto Rico
14018,648372.8306,-2094553.127,F,1,72.1,72,PR,Puerto Rico
14019,648582.2481,-2093658.864,F,1,72.1,72,PR,Puerto Rico
14020,650671.3007,-2092617.963,F,1,72.1,72,PR,Puerto Rico
14021,650675.7622,-2092615.74,F,1,72.1,72,PR,Puerto Rico
14022,654158.8518,-2091898.924,F,1,72.1,72,PR,Puerto Rico
14023,655020.0187,-2091721.697,F,1,72.1,72,PR,Puerto Rico
14024,655046.7085,-2091705.412,F,1,72.1,72,PR,Puerto Rico
14025,655445.2384,-2091462.245,F,1,72.1,72,PR,Puerto Rico
14026,655478.1147,-2091442.186,F,1,72.1,72,PR,Puerto Rico
14027,655752.6496,-2091274.676,F,1,72.1,72,PR,Puerto Rico
14028,658317.408,-2090777.887,F,1,72.1,72,PR,Puerto Rico
14029,658810.302,-2090593.25,F,1,72.1,72,PR,Puerto Rico
14030,660306.1033,-2090032.925,F,1,72.1,72,PR,Puerto Rico
14031,661092.0234,-2089599.858,F,1,72.1,72,PR,Puerto Rico
14032,661122.2494,-2089583.203,F,1,72.1,72,PR,Puerto Rico
14033,661928.5933,-2089138.882,F,1,72.1,72,PR,Puerto Rico
14034,663283.3355,-2088591.819,F,1,72.1,72,PR,Puerto Rico
14035,664388.5329,-2088145.525,F,1,72.1,72,PR,Puerto Rico
14036,664430.3348,-2088131.529,F,1,72.1,72,PR,Puerto Rico
14037,664986.2191,-2087945.409,F,1,72.1,72,PR,Puerto Rico
14038,665278.392,-2087847.584,F,1,72.1,72,PR,Puerto Rico
14039,665963.6433,-2086872.206,F,1,72.1,72,PR,Puerto Rico
