x,y,order,hole,piece,group,fips,abbr,full,county
1012232.939,-2093410.47,55367,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011901.068,-2093751.766,55368,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011604.906,-2094056.339,55369,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011238.481,-2095149.009,55370,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011153.025,-2095273.059,55371,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010529.523,-2096178.147,55372,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010348.622,-2096440.747,55373,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009728.308,-2097029.418,55374,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009511.172,-2097235.476,55375,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009144.967,-2097782.032,55376,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009230.807,-2097928.687,55377,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009578.405,-2098522.542,55378,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009668.4,-2098676.295,55379,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009544.982,-2099261.238,55380,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009511.172,-2099421.478,55381,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009301.975,-2100017.58,55382,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009655.938,-2100381.596,55383,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009930.007,-2100663.449,55384,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009984.108,-2100703.809,55385,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010023.529,-2100733.218,55386,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010662.638,-2101210.004,55387,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010578.481,-2102049.451,55388,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010558.039,-2102253.348,55389,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
